Freq.	V(n002)
Step Information: X=20  (Step: 1/3)
1.10037624992286e+04	(-3.05414147020241e+01dB,7.00959966203031e+01°)
1.10419647952843e+04	(-2.92683373142699e+01dB,6.69396015522116e+01°)
1.10802997201043e+04	(-2.78190737119173e+01dB,6.26186458598101e+01°)
1.11187677341424e+04	(-2.61650433955346e+01dB,5.64350551010719e+01°)
1.11573692994509e+04	(-2.43119210502919e+01dB,4.71516599547662e+01°)
1.11961048796862e+04	(-2.24130398730577e+01dB,3.27631715684256e+01°)
1.12349749401145e+04	(-2.10295174726920e+01dB,1.15015717399494e+01°)
1.12739799476172e+04	(-2.10461199049486e+01dB,-1.36134666614726e+01°)
1.13131203706965e+04	(-2.24491832895234e+01dB,-3.47402198534548e+01°)
1.13523966794813e+04	(-2.43508241892280e+01dB,-4.90023935120853e+01°)
1.13918093457326e+04	(-2.62006201593182e+01dB,-5.82059511857431e+01°)
1.14313588428491e+04	(-2.78503624731851e+01dB,-6.43420695392055e+01°)
1.14710456458734e+04	(-2.92957617516421e+01dB,-6.86340038020154e+01°)
1.15108702314969e+04	(-3.05656216467984e+01dB,-7.17718298104355e+01°)
1.15508330780662e+04	(-3.16908071442858e+01dB,-7.41525024971937e+01°)
1.15909346655885e+04	(-3.26973801711970e+01dB,-7.60144439565542e+01°)
1.16311754757375e+04	(-3.36060659234664e+01dB,-7.75074662700807e+01°)
1.16715559918591e+04	(-3.44331276244901e+01dB,-7.87296629693741e+01°)
1.17120766989774e+04	(-3.51913635653865e+01dB,-7.97476273622285e+01°)
1.17527380838003e+04	(-3.58909351691142e+01dB,-8.06080074568322e+01°)
1.17935406347253e+04	(-3.65399991142432e+01dB,-8.13443794516549e+01°)
1.18344848418457e+04	(-3.71451775564047e+01dB,-8.19814884389966e+01°)
1.18755711969561e+04	(-3.77119063571238e+01dB,-8.25379517531936e+01°)
1.19168001935586e+04	(-3.82446941558058e+01dB,-8.30280332645408e+01°)
1.19581723268686e+04	(-3.87473167717575e+01dB,-8.34628385516068e+01°)
1.19996880938208e+04	(-3.92229645801515e+01dB,-8.38511388717984e+01°)
1.20413479930750e+04	(-3.96743554459429e+01dB,-8.41999511547148e+01°)
1.20831525250224e+04	(-4.01038221961911e+01dB,-8.45149539687687e+01°)
1.21251021917913e+04	(-4.05133810768287e+01dB,-8.48007909329266e+01°)
1.21671974972532e+04	(-4.09047858595439e+01dB,-8.50612954466130e+01°)
1.22094389470291e+04	(-4.12795710080971e+01dB,-8.52996594801705e+01°)
1.22518270484953e+04	(-4.16390864203033e+01dB,-8.55185619762472e+01°)
1.22943623107896e+04	(-4.19845256214043e+01dB,-8.57202676747736e+01°)
1.23370452448174e+04	(-4.23169488208511e+01dB,-8.59067039962608e+01°)
